entity,ramsar,ramsar-site,special-protection-area,wikidata,name,wikipedia,documentation-url,start-date,end-date,entry-date
612001,UK11001,220,UK9009141,Q4663930,Abberton Reservoir,Abberton_Reservoir,,,,
612002,UK11002,862,,Q1786232,Alde-Ore Estuary,River_Alde,,,,
612003,UK11004,1011,UK9020281,Q261603,Arun Valley,Arun_Valley,,,,
612004,UK11005,926,,Q19710,Avon Valley,River_Avon_(Hampshire),,,,
612005,UK11006,648,UK9009171,Q22004776,Benfleet and Southend Marshes,Benfleet_and_Southend_Marshes,,,,
612006,UK11007,543,UK11007,Q4923541,Blackwater Estuary (Mid-Essex Coast Phase 4),Blackwater_Estuary,,,,
612007,UK11008,821,UK9009181,Q4962793,Breydon Water,Breydon_Water,,,,
612008,UK11010,68,,Q1999046,Broadland,Norfolk_Broads,,,,
612009,UK11012,300,UK9010091,Q1070604,Chesil Beach & the Fleet,Chesil_Beach_and_The_Fleet,,,,
612010,UK11013,378,UK11013,Q5096001,Chichester and Langstone Harbours,Chichester_Harbour,,,,
612011,UK11014,544,UK11014,Q27990714,Chippenham Fen,Chippenham_Fen_and_Snailwell_Poor's_Fen,,1992-03-11,,
612012,UK11015,665,UK11015,Q22004786,Colne Estuary (Mid-Essex Coast Phase 2),Colne_Estuary,,,,
612013,UK11058,721,UK9009244,Q22004788,Crouch & Roach Estuaries (Mid-Essex Coast Phase 3),Crouch_and_Roach_Estuaries,,,,
612014,UK11017,794,UK9009261,Q30587695,Deben Estuary,Deben_Estuary,,,,
612015,UK11018,651,,Q5256950,Dengie (Mid-Essex Coast Phase 1),Dengie_SPA,,,,
612016,UK11019,751,,Q5263268,Dersingham Bog,Dersingham_Bog,,,,
612018,UK11022,938,,Q5311678,Duddon Estuary,Duddon_Estuary,,,,
612020,UK11024,536,,Q821474,Esthwaite Water,Esthwaite_Water,,,,
612021,UK11025,542,,Q5419753,Exe Estuary,Exe_Estuary,,,,
612022,UK11026,861,,Q5474214,Foulness (Mid-Essex Coast Phase 5),Foulness,,,,
612023,UK11027,589,,Q5559190,Gibraltar Point,Gibraltar_Point,,,,
612024,UK11028,607,,Q24641396,Hamford Water,Hamford_Water,,,,
612025,UK11030,302,,Q5878816,Holburn Lake & Moss,Holburn_Lake_and_Moss,,,,
612026,UK11031,663,,Q550995,Humber Estuary,Humber,,,,
612028,UK11033,1095,,Q180209,Isles of Scilly,Isles_of_Scilly,,,,
612029,UK11034,1037,,Q6508236,Lee Valley,Lea_Valley,,,,
612030,UK11035,323,,Q6519775,Leighton Moss,Leighton_Moss_RSPB_reserve,,,,
612031,UK11036,70,,Q213804,Lindisfarne,Lindisfarne,,,,
612032,UK11037,301,,Q546983,Lower Derwent Valley,"River_Derwent,_Yorkshire",,,,
612033,UK11038,634,,Q1225708,Malham Tarn,Malham_Tarn,,,,
612034,UK11039,324,,Q6776181,Martin Mere,Martin_Mere,,,,
612035,UK11040,645,UK11040,Q1434222,Medway Estuary & Marshes,River_Medway,,1993-12-15,,
612036,UK11041,785,,Q19724,Mersey Estuary,Mersey_Estuary,,,,
612040,UK11044,75,UK11044,Q16247516,Minsmere-Walberswick,Minsmere-Walberswick_Heaths_and_Marshes,,,,
612041,UK11045,863,,Q1866414,Morecambe Bay,Morecambe_Bay,,,,
612043,UK11046,587,,Q6991602,Nene Washes,Nene_Washes,,,,
612044,UK11047,622,,Q277755,New Forest,The_New_Forest,,,,
612045,UK11048,76,UK11048,Q7051002,North Norfolk Coast,Norfolk_Coast_AONB,,1976-05-01,,
612047,UK11051,77,UK9008041,Q3358495,Ouse Washes,Ouse_Washes,,,,
612048,UK11052,396,UK11052,Q7124346,Pagham Harbour,Pagham_Harbour,,1988-03-30,,
612049,UK11053,973,UK11053,Q7179522,Pevensey Levels,Pevensey_Levels,,1999-02-02,,
612050,UK11054,1005,,Q1645369,Poole Harbour,Poole_Harbour,,,,
612051,UK11055,720,UK11055,Q7232468,Portsmouth Harbour,Portsmouth_Harbour,,1995-02-28,,
612052,UK11056,513,UK11056,Q7305880,Redgrave & South Lopham Fens,Redgrave_and_South_Lopham_Fens,,1991-02-15,,
612053,UK11057,325,,Q7322249,Ribble & Alt Estuaries,Ribble_and_Alt_Estuaries,,,,
612054,UK11060,221,,Q7370007,Rostherne Mere,Rostherne_Mere,,,,
612055,UK11061,588,,Q7375211,Roydon Common,Roydon_Common,,,,
612056,UK11062,533,,Q822190,Rutland Water,Rutland_Water,,,,
612057,UK11081,67,,Q12068771,Severn Estuary,Severn_Estuary,,,,
612058,UK11063,965,,Q502233,Solent & Southampton Water,Southampton_Water,,,,
612059,UK11064,914,,Q6376320,Somerset Levels & Moors,Somerset_Levels_and_Moors,,,,
612062,UK11067,662,,Q27990758,Stour and Orwell Estuaries,Stour_Estuary,,,,
612064,UK11069,1025,,Q3059075,Thames Estuary & Marshes,Thames_Estuary,,,,
612065,UK11070,664,,Q55099023,Thanet Coast & Sandwich Bay,Thanet_Coast,,,,
612066,UK11082,298,,Q5249904,The Dee Estuary,Dee_Estuary,,,,
612067,UK11071,299,UK9012011,Q3506402,The Swale,The_Swale,,,,
612068,UK11072,395,,Q1463998,The Wash,The_Wash,,,,
612070,UK11083,2023,UK9020296,Q28407031,Upper Nene Valley Gravel Pits,Upper_Nene_Valley_Gravel_Pits,,,,
612072,UK11076,538,,Q7963543,Walmore Common,Walmore_Common,,,,
612073,UK11077,752,UK11077,Q7998320,Wicken Fen,Wicken_Fen,,,,
612074,UK11078,753,UK11078,Q23103563,Woodwalton Fen,Woodwalton_Fen,,,,
612075,UK11021,964,,Q16974091,Dorset Heathlands,Dorset_Heaths,,,,
612076,UK11065,1038,,,South West London Waterbodies,,,,,
612077,UK11068,741,,,Teesmouth & Cleveland Coast,,,,,
612078,UK11066,646,,,Stodmarsh,,,,,
612079,UK11032,303,,,Irthinghead Mires,,,,,
612080,UK11079,341,,,Upper Solway Flats & Marshes,,,,,
612081,UK11080,891,,,Midland Meres and Mosses Phase 2,,,,,
612082,UK11074,647,,,Thursley & Ockley Bogs,,,,,
612083,UK11023,,,,"Dungeness, Romney Marsh and Rye Bay",,https://www.gov.uk/government/publications/special-protection-area-and-ramsar-site-dungeness-romney-marsh-and-rye-bay,,,
612084,UK11042,2202,,,The Mersey Narrows and North Wirral Foreshore,,,,,
612085,UK11043,653,,,Midland Meres & Mosses,,,,,
612086,UK11049,1019,,,Northumbria Coast,,,,,
